forecast_id,asset,issued_at_utc,published_value,probability_status,direction,confidence,haircut_side,price_at_issue,source_id,source_label,intended_resolution_at_utc,horizon_hours,horizon_class,agent_provenance_snapshot,system_config_hash,coverage_pct,schema_version,status,reason_code,price_at_resolution,resolution_source_id,outcome,outcome_no_deadband,resolved_at_utc,brier_error
b69623903635c27be498e337,BTC,2026-08-31T02:21:33+00:00,0.395,NOT_A_PROBABILITY,bullish,0.395,NO_HAIRCUT_FOUND,77882.84,coinbase:BTC-USD:daily,Coinbase BTC-USD daily candles,2026-09-01T02:21:33+00:00,24.0,btc_24h_wall_clock,"{""brain_matches"": 5, ""confidence_semantics"": ""mapped_research_confidence_not_probability"", ""dominant_tags"": [""liquidity"", ""volatility"", ""fed"", ""rates"", ""hawkish""], ""producer"": ""NeroOrchestrator"", ""technical_regime"": ""Bull"", ""volatility_regime"": ""High-Vol""}",1406609e164a9231,1.0,bellwether_calibration_v1,NOT_A_PROBABILITY,CONFIDENCE_FIELD_NOT_PROBABILITY,78909.8,coinbase:BTC-USD:daily,up,up,2026-09-01T05:14:05+00:00,
a779d358ffb8650ba7534b5a,GOLD,2026-08-31T22:53:32+00:00,0.35,NOT_A_PROBABILITY,bullish,0.35,NO_HAIRCUT_FOUND,,twelvedata:XAU/USD:daily,Twelve Data XAU/USD daily candles,2026-09-01T17:00:00+00:00,18.11,gold_london_ny_session_approx,"{""brain_matches"": 5, ""confidence_semantics"": ""mapped_research_confidence_not_probability"", ""dominant_tags"": [""liquidity"", ""volatility"", ""fed"", ""rates"", ""hawkish""], ""producer"": ""NeroOrchestrator"", ""technical_regime"": ""Range"", ""volatility_regime"": ""Normal-Vol""}",97f49e3cc1dd7ac7,1.0,bellwether_calibration_v1,DATA_QUALITY_FAIL,FUTURE_TIMESTAMP,,,,,,
fa116246ae7514bee1666d9f,BTC,2026-09-01T05:14:05+00:00,0.396,NOT_A_PROBABILITY,bullish,0.396,NO_HAIRCUT_FOUND,78909.8,coinbase:BTC-USD:daily,Coinbase BTC-USD daily candles,2026-09-02T05:14:05+00:00,24.0,btc_24h_wall_clock,"{""brain_matches"": 5, ""confidence_semantics"": ""mapped_research_confidence_not_probability"", ""dominant_tags"": [""liquidity"", ""volatility"", ""fed"", ""rates"", ""hawkish""], ""producer"": ""NeroOrchestrator"", ""technical_regime"": ""Bull"", ""volatility_regime"": ""High-Vol""}",1406609e164a9231,1.0,bellwether_calibration_v1,NOT_A_PROBABILITY,CONFIDENCE_FIELD_NOT_PROBABILITY,76487.45,coinbase:BTC-USD:daily,down,down,2026-09-02T11:22:35+00:00,
9b8c3325b0c9e795ebd16a86,GOLD,2026-09-01T21:04:38+00:00,0.35,NOT_A_PROBABILITY,bearish,0.35,NO_HAIRCUT_FOUND,,twelvedata:XAU/USD:daily,Twelve Data XAU/USD daily candles,2026-09-02T17:00:00+00:00,19.92,gold_london_ny_session_approx,"{""brain_matches"": 5, ""confidence_semantics"": ""mapped_research_confidence_not_probability"", ""dominant_tags"": [""liquidity"", ""volatility"", ""fed"", ""rates"", ""hawkish""], ""producer"": ""NeroOrchestrator"", ""technical_regime"": ""Range"", ""volatility_regime"": ""Normal-Vol""}",97f49e3cc1dd7ac7,1.0,bellwether_calibration_v1,DATA_QUALITY_FAIL,FUTURE_TIMESTAMP,,,,,,
9dd8a97abf053def75c4eb0f,BTC,2026-09-02T04:39:17+00:00,0.35,NOT_A_PROBABILITY,bullish,0.35,NO_HAIRCUT_FOUND,77447.55,coinbase:BTC-USD:daily,Coinbase BTC-USD daily candles,2026-09-03T04:39:17+00:00,24.0,btc_24h_wall_clock,"{""brain_matches"": 5, ""confidence_semantics"": ""mapped_research_confidence_not_probability"", ""dominant_tags"": [""liquidity"", ""volatility"", ""fed"", ""rates"", ""hawkish""], ""producer"": ""NeroOrchestrator"", ""technical_regime"": ""Bull"", ""volatility_regime"": ""High-Vol""}",1406609e164a9231,1.0,bellwether_calibration_v1,NOT_A_PROBABILITY,CONFIDENCE_FIELD_NOT_PROBABILITY,77855.69,coinbase:BTC-USD:daily,up,up,2026-09-03T11:18:56+00:00,
a33faaf47bdf2e80b3be8f8a,GOLD,2026-09-02T21:06:06+00:00,0.35,NOT_A_PROBABILITY,neutral,0.35,NO_HAIRCUT_FOUND,,twelvedata:XAU/USD:daily,Twelve Data XAU/USD daily candles,2026-09-03T17:00:00+00:00,19.9,gold_london_ny_session_approx,"{""brain_matches"": 5, ""confidence_semantics"": ""mapped_research_confidence_not_probability"", ""dominant_tags"": [""liquidity"", ""volatility"", ""fed"", ""rates"", ""hawkish""], ""producer"": ""NeroOrchestrator"", ""technical_regime"": ""Range"", ""volatility_regime"": ""Normal-Vol""}",97f49e3cc1dd7ac7,1.0,bellwether_calibration_v1,DATA_QUALITY_FAIL,FUTURE_TIMESTAMP,,,,,,
a50e052498ff9d924d6c094f,BTC,2026-09-03T04:36:53+00:00,0.35,NOT_A_PROBABILITY,bullish,0.35,NO_HAIRCUT_FOUND,77572.01,coinbase:BTC-USD:daily,Coinbase BTC-USD daily candles,2026-09-04T04:36:53+00:00,24.0,btc_24h_wall_clock,"{""brain_matches"": 5, ""confidence_semantics"": ""mapped_research_confidence_not_probability"", ""dominant_tags"": [""liquidity"", ""volatility"", ""fed"", ""rates"", ""hawkish""], ""producer"": ""NeroOrchestrator"", ""technical_regime"": ""Bull"", ""volatility_regime"": ""High-Vol""}",1406609e164a9231,1.0,bellwether_calibration_v1,NOT_A_PROBABILITY,CONFIDENCE_FIELD_NOT_PROBABILITY,81180.27,coinbase:BTC-USD:daily,up,up,2026-09-04T04:38:25+00:00,
159116d7e00e3feca90ca766,GOLD,2026-09-03T21:05:09+00:00,0.35,NOT_A_PROBABILITY,bullish,0.35,NO_HAIRCUT_FOUND,,twelvedata:XAU/USD:daily,Twelve Data XAU/USD daily candles,2026-09-04T17:00:00+00:00,19.91,gold_london_ny_session_approx,"{""brain_matches"": 5, ""confidence_semantics"": ""mapped_research_confidence_not_probability"", ""dominant_tags"": [""liquidity"", ""volatility"", ""fed"", ""rates"", ""hawkish""], ""producer"": ""NeroOrchestrator"", ""technical_regime"": ""Range"", ""volatility_regime"": ""Normal-Vol""}",97f49e3cc1dd7ac7,1.0,bellwether_calibration_v1,DATA_QUALITY_FAIL,FUTURE_TIMESTAMP,,,,,,
5a2f6204746dd79906ca7b9b,BTC,2026-09-04T04:38:24+00:00,0.512,NOT_A_PROBABILITY,bullish,0.512,NO_HAIRCUT_FOUND,81180.27,coinbase:BTC-USD:daily,Coinbase BTC-USD daily candles,2026-09-05T04:38:24+00:00,24.0,btc_24h_wall_clock,"{""brain_matches"": 5, ""confidence_semantics"": ""mapped_research_confidence_not_probability"", ""dominant_tags"": [""liquidity"", ""volatility"", ""fed"", ""rates"", ""hawkish""], ""producer"": ""NeroOrchestrator"", ""technical_regime"": ""Bull"", ""volatility_regime"": ""High-Vol""}",1406609e164a9231,1.0,bellwether_calibration_v1,NOT_A_PROBABILITY,CONFIDENCE_FIELD_NOT_PROBABILITY,79653.64,coinbase:BTC-USD:daily,down,down,2026-09-05T10:38:52+00:00,
d3b686e2352fcf8008d33806,BTC,2026-09-05T04:33:57+00:00,0.35,NOT_A_PROBABILITY,bullish,0.35,NO_HAIRCUT_FOUND,79581.15,coinbase:BTC-USD:daily,Coinbase BTC-USD daily candles,2026-09-06T04:33:57+00:00,24.0,btc_24h_wall_clock,"{""brain_matches"": 5, ""confidence_semantics"": ""mapped_research_confidence_not_probability"", ""dominant_tags"": [""liquidity"", ""volatility"", ""fed"", ""rates"", ""hawkish""], ""producer"": ""NeroOrchestrator"", ""technical_regime"": ""Bull"", ""volatility_regime"": ""High-Vol""}",1406609e164a9231,1.0,bellwether_calibration_v1,NOT_A_PROBABILITY,CONFIDENCE_FIELD_NOT_PROBABILITY,79913.99,coinbase:BTC-USD:daily,up,up,2026-09-06T04:43:16+00:00,
